,SVL,HL,HLL,FLL,LAM,TL
occultus,38.98,12.54,18.93,12.16,15.76,38.44
olssoni,44.43,12.65,37.60,16.89,14.59,139.43
opalinus,46.45,14.52,37.15,21.69,20.82,82.75
ophiolepis,38.01,11.43,28.00,15.19,13.64,89.80
oporinus,46.79,15.13,26.29,17.79,21.00,63.00
paternus,44.83,14.72,28.68,16.85,19.99,80.41
placidus,43.55,13.79,20.83,14.39,16.37,46.87
poncensis,45.62,13.99,34.78,18.17,13.93,119.80
porcatus,70.74,25.32,46.44,26.89,28.55,141.15
porcus,154.17,60.69,90.96,62.84,33.31,181.72
pulchellus,44.66,15.20,35.00,18.24,17.37,117.38
pumilis,32.04,9.82,20.74,13.41,16.68,62.34
quadriocellifer,49.48,14.82,40.67,23.49,17.18,82.67
reconditus,88.47,28.76,82.39,44.44,21.13,187.79
ricordii,150.50,46.69,112.63,66.78,30.38,285.88
rubribarbus,59.06,18.07,52.53,28.69,17.59,95.69
sagrei,58.39,17.03,47.36,25.60,18.52,118.63
semilineatus,40.31,12.96,35.41,15.15,14.97,122.83
sheplani,39.76,12.12,17.44,11.65,15.17,42.50
shrevei,53.68,18.42,45.42,24.72,15.96,105.26
singularis,57.86,18.50,40.02,23.98,23.33,99.03
smallwoodi,153.71,52.19,115.61,66.57,41.73,311.40
strahmi,71.83,23.25,67.96,38.26,19.90,140.98
stratulus,47.94,15.14,35.81,22.13,22.20,78.69
valencienni,75.30,24.37,46.12,29.39,24.64,100.57
vanidicus,37.57,12.07,27.55,12.59,13.18,93.73
vermiculatus,121.86,38.71,100.66,50.68,27.15,257.94
websteri,50.23,14.74,38.54,24.46,19.56,74.86
whitemani,60.19,20.99,53.18,28.95,16.16,126.06
